set,class_name
classes_union,corn
classes_union,horsebeans
classes_union,meadow
classes_union,spring_barley
classes_union,spring_oat
classes_union,spring_peas
classes_union,spring_rapeseed
classes_union,spring_rye
classes_union,spring_triticale
classes_union,spring_wheat
classes_union,sunflowers
classes_union,unknown
classes_union,winter_barley
classes_union,winter_oat
classes_union,winter_peas
classes_union,winter_rapeseed
classes_union,winter_rye
classes_union,winter_triticale
classes_union,winter_wheat
classes_intersection_all_four,corn
classes_intersection_all_four,horsebeans
classes_intersection_all_four,meadow
classes_intersection_all_four,spring_barley
classes_intersection_all_four,spring_oat
classes_intersection_all_four,spring_peas
classes_intersection_all_four,spring_rapeseed
classes_intersection_all_four,spring_rye
classes_intersection_all_four,spring_triticale
classes_intersection_all_four,spring_wheat
classes_intersection_all_four,unknown
classes_intersection_all_four,winter_barley
classes_intersection_all_four,winter_rapeseed
classes_intersection_all_four,winter_rye
classes_intersection_all_four,winter_triticale
classes_intersection_all_four,winter_wheat
